sweep_label,sweep_display_name,n_hidden,mean_of_mean_sample_relative_l2,mean_of_median_sample_relative_l2,mean_of_worst_sample_relative_l2,std_of_worst_sample_relative_l2,n_runs
gru_low_dim,GRU low-dimensional sweep,0,0.010732478259079572,0.009947302906463543,0.02769559994339943,0.00014777683139602715,3
gru_low_dim,GRU low-dimensional sweep,1,0.010636181014383005,0.010056005325168371,0.026721084490418434,0.0012147692026216888,3
gru_low_dim,GRU low-dimensional sweep,2,0.009532954482387545,0.008947275889416536,0.02276439778506756,0.001232773895308395,3
gru_low_dim,GRU low-dimensional sweep,3,0.008805364051497438,0.008119571798791489,0.02463005669414997,0.0016753000287784,3
gru_low_dim,GRU low-dimensional sweep,4,0.006677734382295361,0.005673980573192239,0.023518575355410576,,1
paper_rno_no_rate,paper RNO without rate,0,0.7536771049102148,0.7910612523555756,0.9992959499359131,,1
paper_rno_no_rate,paper RNO without rate,1,0.6965116925537587,0.7362379729747772,0.9594663977622986,,1
paper_rno_no_rate,paper RNO without rate,2,0.5634980003039042,0.5879388749599457,0.8674420714378357,,1
paper_rno_no_rate,paper RNO without rate,3,0.48442876686652503,0.46565818786621094,0.8159645795822144,,1
paper_rno_no_rate,paper RNO without rate,4,0.47767689228057864,0.4700316935777664,0.7840489149093628,,1
paper_rno_no_rate,paper RNO without rate,5,0.48792482043306035,0.4729289710521698,0.8097187876701355,,1
paper_rno_with_rate,paper RNO with rate,0,0.010898600099608302,0.00987206632271409,0.028127728030085564,,1
paper_rno_with_rate,paper RNO with rate,1,0.010225831589195877,0.009345121681690216,0.02739330381155014,,1
paper_rno_with_rate,paper RNO with rate,2,0.009459281340241432,0.008256004191935062,0.027146555483341217,,1
paper_rno_with_rate,paper RNO with rate,3,0.008139977555644388,0.006906804395839572,0.026520131155848503,,1
paper_rno_with_rate,paper RNO with rate,4,0.00839066388240705,0.0067409726325422525,0.026810020208358765,,1
paper_rno_with_rate,paper RNO with rate,5,0.007602523335178072,0.006019732914865017,0.026599563658237457,,1
