sweep_label,sweep_display_name,n_hidden,seed,best_val_loss,best_epoch,checkpoint_path,prediction_path,mean_sample_relative_l2,median_sample_relative_l2,worst_sample_relative_l2,worst_sample_rmse,worst_sample_index
gru_low_dim,GRU low-dimensional sweep,0,20260328,8.337293365912046e-06,210,artifacts/checkpoints/hidden_threshold_low_dim_gru_h0_seed_20260328.pt,artifacts/predictions/12_gru_low_dim_h0_seed_20260328_predictions.npz,0.010786793474107981,0.01000924687832594,0.02785404585301876,0.010843957774341106,22
gru_low_dim,GRU low-dimensional sweep,0,20260329,8.41754263092298e-06,205,artifacts/checkpoints/hidden_threshold_low_dim_gru_h0_seed_20260329.pt,artifacts/predictions/12_gru_low_dim_h0_seed_20260329_predictions.npz,0.01068727276287973,0.009773786645382643,0.02767123281955719,0.010772786103188992,22
gru_low_dim,GRU low-dimensional sweep,0,20260330,8.393515599891543e-06,175,artifacts/checkpoints/hidden_threshold_low_dim_gru_h0_seed_20260330.pt,artifacts/predictions/12_gru_low_dim_h0_seed_20260330_predictions.npz,0.010723368540251006,0.010058875195682049,0.027561521157622337,0.010730073787271976,22
gru_low_dim,GRU low-dimensional sweep,1,20260328,7.619927146151895e-06,214,artifacts/checkpoints/hidden_threshold_low_dim_gru_h1_seed_20260328.pt,artifacts/predictions/12_gru_low_dim_h1_seed_20260328_predictions.npz,0.010493500460870563,0.009696881286799908,0.025321675464510918,0.009858070872724056,22
gru_low_dim,GRU low-dimensional sweep,1,20260329,8.229987543018069e-06,193,artifacts/checkpoints/hidden_threshold_low_dim_gru_h1_seed_20260329.pt,artifacts/predictions/12_gru_low_dim_h1_seed_20260329_predictions.npz,0.010708459148493906,0.010151084046810865,0.0273376926779747,0.010642933659255505,22
gru_low_dim,GRU low-dimensional sweep,1,20260330,8.37883726489963e-06,196,artifacts/checkpoints/hidden_threshold_low_dim_gru_h1_seed_20260330.pt,artifacts/predictions/12_gru_low_dim_h1_seed_20260330_predictions.npz,0.010706583433784545,0.01032005064189434,0.027503885328769684,0.010707635432481766,22
gru_low_dim,GRU low-dimensional sweep,2,20260328,6.777648195566144e-06,209,artifacts/checkpoints/hidden_threshold_low_dim_gru_h2_seed_20260328.pt,artifacts/predictions/12_gru_low_dim_h2_seed_20260328_predictions.npz,0.009836969402385876,0.009718947112560272,0.021645518019795418,0.008426892571151257,22
gru_low_dim,GRU low-dimensional sweep,2,20260329,5.9205917750659864e-06,209,artifacts/checkpoints/hidden_threshold_low_dim_gru_h2_seed_20260329.pt,artifacts/predictions/12_gru_low_dim_h2_seed_20260329_predictions.npz,0.008375536021776497,0.007159039843827486,0.022561727091670036,0.008783586323261261,22
gru_low_dim,GRU low-dimensional sweep,2,20260330,7.230372830235865e-06,210,artifacts/checkpoints/hidden_threshold_low_dim_gru_h2_seed_20260330.pt,artifacts/predictions/12_gru_low_dim_h2_seed_20260330_predictions.npz,0.01038635802300026,0.009963840711861849,0.02408594824373722,0.009376986883580685,22
gru_low_dim,GRU low-dimensional sweep,3,20260328,4.2670681068557315e-06,216,artifacts/checkpoints/hidden_threshold_low_dim_gru_h3_seed_20260328.pt,artifacts/predictions/12_gru_low_dim_h3_seed_20260328_predictions.npz,0.007479885367987057,0.006428573513403535,0.025860438123345375,0.010067819617688656,22
gru_low_dim,GRU low-dimensional sweep,3,20260329,5.220152161200531e-06,219,artifacts/checkpoints/hidden_threshold_low_dim_gru_h3_seed_20260329.pt,artifacts/predictions/12_gru_low_dim_h3_seed_20260329_predictions.npz,0.008324299415107816,0.0077819672878831625,0.022722097113728523,0.006581192370504141,34
gru_low_dim,GRU low-dimensional sweep,3,20260330,7.764378096908331e-06,206,artifacts/checkpoints/hidden_threshold_low_dim_gru_h3_seed_20260330.pt,artifacts/predictions/12_gru_low_dim_h3_seed_20260330_predictions.npz,0.01061190737139744,0.010148174595087767,0.025307634845376015,0.009852604940533638,22
gru_low_dim,GRU low-dimensional sweep,4,20260328,3.2697046208340907e-06,218,artifacts/checkpoints/hidden_threshold_adaptive_gru_h4_seed_20260328.pt,artifacts/predictions/12_gru_low_dim_h4_seed_20260328_predictions.npz,0.006677734382295361,0.005673980573192239,0.023518575355410576,0.006811882834881544,34
paper_rno_no_rate,paper RNO without rate,0,20260341,0.0398268401622772,65,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h0_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h0_seed_20260341_predictions.npz,0.7536771049102148,0.7910612523555756,0.9992959499359131,0.27124184370040894,59
paper_rno_no_rate,paper RNO without rate,1,20260341,0.035212468355894,197,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h1_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h1_seed_20260341_predictions.npz,0.6965116925537587,0.7362379729747772,0.9594663977622986,0.2731602191925049,30
paper_rno_no_rate,paper RNO without rate,2,20260341,0.0235887710005044,217,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h2_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h2_seed_20260341_predictions.npz,0.5634980003039042,0.5879388749599457,0.8674420714378357,0.23545238375663757,59
paper_rno_no_rate,paper RNO without rate,3,20260341,0.0191351156681776,218,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h3_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h3_seed_20260341_predictions.npz,0.48442876686652503,0.46565818786621094,0.8159645795822144,0.22861461341381073,52
paper_rno_no_rate,paper RNO without rate,4,20260341,0.0185535494238138,212,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h4_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h4_seed_20260341_predictions.npz,0.47767689228057864,0.4700316935777664,0.7840489149093628,0.21639199554920197,20
paper_rno_no_rate,paper RNO without rate,5,20260341,0.0192248094826936,206,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h5_seed_20260341.pt,artifacts/predictions/12_paper_rno_no_rate_h5_seed_20260341_predictions.npz,0.48792482043306035,0.4729289710521698,0.8097187876701355,0.22686468064785004,52
paper_rno_with_rate,paper RNO with rate,0,20260341,8.739460099604912e-06,219,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h0_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h0_seed_20260341_predictions.npz,0.010898600099608302,0.00987206632271409,0.028127728030085564,0.010950506664812565,22
paper_rno_with_rate,paper RNO with rate,1,20260341,7.922600161691662e-06,212,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h1_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h1_seed_20260341_predictions.npz,0.010225831589195877,0.009345121681690216,0.02739330381155014,0.010664585046470165,22
paper_rno_with_rate,paper RNO with rate,2,20260341,7.46435034670867e-06,69,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h2_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h2_seed_20260341_predictions.npz,0.009459281340241432,0.008256004191935062,0.027146555483341217,0.010568521916866302,22
paper_rno_with_rate,paper RNO with rate,3,20260341,5.711676294595236e-06,211,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h3_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h3_seed_20260341_predictions.npz,0.008139977555644388,0.006906804395839572,0.026520131155848503,0.010324645787477493,22
paper_rno_with_rate,paper RNO with rate,4,20260341,5.95334267927683e-06,213,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h4_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h4_seed_20260341_predictions.npz,0.00839066388240705,0.0067409726325422525,0.026810020208358765,0.010437504388391972,22
paper_rno_with_rate,paper RNO with rate,5,20260341,5.357938334782375e-06,218,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h5_seed_20260341.pt,artifacts/predictions/12_paper_rno_with_rate_h5_seed_20260341_predictions.npz,0.007602523335178072,0.006019732914865017,0.026599563658237457,0.0103555703535676,22
